Date,QQQ,TLT,VGT,XLK
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-16,,,,
2010-02-17,,,,
2010-02-18,,,,
2010-02-19,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,39.28131019592285,57.875154647827145,46.33219253540039,17.843120765686034
2010-03-17,39.30306427001953,57.90412185668945,46.336700973510744,17.838270797729493
2010-03-18,39.327603302001954,57.92185478210449,46.34224983215332,17.834391136169433
2010-03-19,39.35198051452637,57.95615196228027,46.34589096069336,17.83249256134033
2010-03-22,39.383326873779296,57.98982055664062,46.362190093994144,17.834805793762207
2010-03-23,39.413809356689455,58.018485641479494,46.38091636657715,17.838262176513673
2010-03-24,39.44359115600586,58.032108764648434,46.39617477416992,17.84138942718506
2010-03-25,39.48224739074707,58.01906677246094,46.425651931762694,17.84920696258545
2010-03-26,39.51185470581055,58.022602233886715,46.44385818481445,17.851684074401856
2010-03-29,39.5447730255127,58.00585777282715,46.45547546386719,17.85432647705078
2010-03-30,39.5898770904541,57.98557312011719,46.484259033203124,17.86376392364502
2010-03-31,39.61809471130371,57.976419067382814,46.49396926879883,17.86576126098633
2010-04-01,39.657973022460936,57.95274383544922,46.5159903717041,17.8730912399292
2010-04-05,39.7131746673584,57.9046745300293,46.56072624206543,17.888679962158204
2010-04-06,39.793962173461914,57.860443572998044,46.64204818725586,17.91720272064209
2010-04-07,39.87004875183106,57.835974578857424,46.71522041320801,17.941355895996093
2010-04-08,39.94735565185547,57.81163818359375,46.78856605529785,17.967127876281737
2010-04-09,40.023623352050784,57.790640640258786,46.86416618347168,17.992909240722657
2010-04-12,40.12060264587402,57.776328125,46.96837593078613,18.029686164855956
2010-04-13,40.23516357421875,57.75555892944336,47.095820922851566,18.07357982635498
2010-04-14,40.351824264526364,57.7373550415039,47.22708061218262,18.11910743713379
2010-04-15,40.46553031921387,57.71711463928223,47.35573905944824,18.163024291992187
2010-04-16,40.56460632324219,57.718786544799805,47.468965682983395,18.200943183898925
2010-04-19,40.68526214599609,57.699351959228515,47.607681045532225,18.249372482299805
2010-04-20,40.804008636474606,57.68148010253906,47.744835739135745,18.29651512145996
2010-04-21,40.93302795410156,57.6715958404541,47.89048713684082,18.34592384338379
2010-04-22,41.059267883300784,57.66999443054199,48.03041618347168,18.39339557647705
2010-04-23,41.19073249816895,57.67539543151855,48.17641441345215,18.442810287475584
2010-04-26,41.30896865844726,57.68834381103515,48.30940795898437,18.488181953430175
2010-04-27,41.40699638366699,57.71290794372558,48.41899291992188,18.525284690856935
2010-04-28,41.49580131530762,57.72526168823242,48.518347930908206,18.55834934234619
2010-04-29,41.59523834228516,57.755669326782225,48.62307830810547,18.59433624267578
2010-04-30,41.67255470275879,57.80418930053711,48.69729118347168,18.619950981140136
2010-05-03,41.7622403717041,57.84502555847168,48.786242446899415,18.651725616455078
2010-05-04,41.827359161376954,57.91189765930176,48.84675727844238,18.67311912536621
2010-05-05,41.89821609497071,57.96810691833496,48.912820434570314,18.697255516052245
2010-05-06,41.93319190979004,58.05895332336426,48.935708618164064,18.706806564331053
2010-05-07,41.94813194274902,58.12765869140625,48.94195068359375,18.709380950927734
2010-05-10,42.00140441894531,58.164787445068356,48.99171463012695,18.72768829345703
2010-05-11,42.04249313354492,58.199329986572266,49.0234455871582,18.73903617858887
2010-05-12,42.09682518005371,58.22624153137207,49.07910530090332,18.760437355041503
2010-05-13,42.136872177124026,58.26398048400879,49.12158721923828,18.77616310119629
2010-05-14,42.1582804107666,58.31648399353028,49.138233032226566,18.78329807281494
2010-05-17,42.17029350280762,58.37985237121582,49.14516906738281,18.78785224914551
2010-05-18,42.169415664672854,58.46797050476074,49.133031311035154,18.784952239990233
2010-05-19,42.157566680908204,58.55996589660644,49.111183624267575,18.77767875671387
2010-05-20,42.10931266784668,58.68112457275391,49.04772109985352,18.756627883911133
2010-05-21,42.06646286010742,58.7993433380127,48.99102066040039,18.736716918945312
2010-05-24,42.02030265808106,58.9059912109375,48.9284253692627,18.715507278442384
2010-05-25,41.97692817687988,59.02037704467774,48.86721733093262,18.693648109436037
2010-05-26,41.919620971679684,59.121916427612305,48.792657623291014,18.66563503265381
2010-05-27,41.88914680480957,59.18965713500977,48.74549415588379,18.648167152404785
2010-05-28,41.851183853149415,59.266927337646486,48.68948760986328,18.627294998168946
2010-06-01,41.81093864440918,59.351802825927734,48.62810592651367,18.605239028930665
2010-06-02,41.781843719482424,59.423475952148436,48.58024894714355,18.58821048736572
2010-06-03,41.754665298461916,59.49159072875977,48.53412628173828,18.57118190765381
2010-06-04,41.70361877441406,59.614158630371094,48.46286163330078,18.544422721862794
2010-06-07,41.63950523376465,59.75375198364258,48.371482849121094,18.511987342834473
2010-06-08,41.57312728881836,59.883791809082034,48.281491394042966,18.481984634399414
2010-06-09,41.496295852661135,60.0167652130127,48.185431213378905,18.44906276702881
2010-06-10,41.43845458984375,60.123473205566405,48.10740348815918,18.422790031433106
2010-06-11,41.392112197875974,60.23816886901855,48.04602203369141,18.400733947753906
2010-06-14,41.34559593200684,60.34919128417969,47.98255966186523,18.378677978515626
2010-06-15,41.312494049072264,60.4740763092041,47.93331527709961,18.36148723602295
2010-06-16,41.280263137817386,60.60428565979004,47.884591293334964,18.344945335388182
2010-06-17,41.25273635864258,60.730319061279296,47.84124290466308,18.33116039276123
2010-06-18,41.22397354125977,60.85376449584961,47.798934631347656,18.316710472106934
2010-06-21,41.183176879882815,60.970878753662106,47.74154121398926,18.296737289428712
2010-06-22,41.13539909362793,61.09697593688965,47.66992965698242,18.27286102294922
2010-06-23,41.07994941711426,61.2280216217041,47.591382064819335,18.247198333740233
2010-06-24,41.002002182006834,61.35953010559082,47.477808456420895,18.208860778808592
2010-06-25,40.920379180908206,61.49493423461914,47.36007385253906,18.16841365814209
2010-06-28,40.84641136169434,61.63402488708496,47.25551696777344,18.133807258605955
